nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Utgått,Varugrupp,Typ,Stil,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,SortimentText,Ekologisk,Etiskt,EtisktEtikett,Koscher,RavarorBeskrivning
8751108,11183,87511,Louis Roederer,Brut Premier,2095.00,,3000.00,698.33,1996/07/01,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Louis Roederer,Vinunic AB,,,12.00%,BS,Övrigt sortiment,0,0,,0,
1190201,1118525,11902,Tegnér & Son,Ekologisk Glögg Alkoholfri,34.00,,750.00,45.33,2017/11/01,0,Alkoholfritt,Glögg,,Flaska,,,Sverige,Galatea AB,Galatea AB,,,0.50%,TSS,Säsongsdrycker,1,0,,0,
8640402,1118528,86404,Sljivovica,Badel,292.00,,500.00,584.00,2016/07/29,0,Sprit av frukt,,,Flaska,,,Kroatien,Badel 1862,Triggollo Wine & Spirits AB,,,40.00%,BS,Övrigt sortiment,0,0,,0,
7438601,1118531,74386,Barbera d''Alba,Cascina Alberta,147.00,,750.00,196.00,2016/07/29,0,Rött vin,,,Flaska,,Piemonte,Italien,Cascina Alberta,Castore Sweden AB,2013,,13.50%,BS,Övrigt sortiment,0,0,,0,
8612801,1118546,86128,Le Père Jules,Calvados 3ans d''Auge,707.00,,700.00,1010.00,2016/08/03,0,Calvados,,,Flaska,,Normandie,Frankrike,Léon Desfrièches,Vinopia Wine & Spirit AB,,,41.00%,BS,Övrigt sortiment,0,0,,0,
8742101,1118613,87421,Rhum Bielle,Blanc,451.00,,500.00,902.00,2016/08/05,0,Rom,Ljus,,Flaska,,Guadeloupe,Frankrike,Distillerie Bielle,Clydesdale AB,,,59.00%,BS,Övrigt sortiment,0,0,,0,
7257801,1118728,72578,Roero Arneis,Antica Cascina dei Conti di Roero,136.00,,750.00,181.33,2016/07/29,0,Vitt vin,,,Flaska,,Piemonte,Italien,Antica Cascina dei Conti di Roero,Castore Sweden AB,2014,,13.00%,BS,Övrigt sortiment,0,0,,0,
1192501,1118767,11925,Blossa,Ekologisk Alkoholfri Glögg,39.00,,750.00,52.00,2017/11/01,0,Alkoholfritt,Glögg,,Flaska,Skruvkapsyl,,Sverige,Altia PLC,Altia Sweden AB,,,0.50%,TSS,Säsongsdrycker,1,0,,0,
7824701,1118770,78247,Victoria,La Dolce Vita Rosé,101.00,,750.00,134.67,2016/08/01,0,Mousserande vin,Rosé,,Flaska,Naturkork,Venetien,Italien,T.C.S. Borgogno S.R.L.,Hard On AB,,,11.50%,FS,Ordinarie sortiment,0,0,,0,
8600301,1118799,86003,Rhum Bielle,40th Anniversary,1290.00,,700.00,1842.86,2016/08/05,0,Rom,Mörk,,Flaska,,Guadeloupe,Frankrike,Distillerie Bielle,Clydesdale AB,2008,,53.40%,BS,Övrigt sortiment,0,0,,0,
